seller_key,seller_state
seller_id_0c40c31d1920162c,RJ
seller_id_0c50926101cfd00e,SP
seller_id_0c513854e063d91b,SP
seller_id_0c6bf494aadb220b,SP
seller_id_0c797b7ae27a970f,SP
seller_id_0c7c5d2be5f0c17a,SP
seller_id_0c8acd12badf1a45,MG
seller_id_0ca06f8d09aab260,SP
seller_id_0cab25ef317e4507,SC
seller_id_0cd9cb1880545325,SP
seller_id_0d0b376b0f6503b5,SP
seller_id_0d4697d3d775e5c1,SP
seller_id_0d495f6db648f32a,BA
seller_id_0d6544e430474adc,RS
seller_id_0d6e4582a6e4de8b,PB
seller_id_0d73d604e4bf7fb1,SP
seller_id_0d924cdfac19b292,RS
seller_id_0d952505dedfb485,SP
seller_id_0da483b6afe4a82c,SP
seller_id_0da86d0fe598b087,SP
seller_id_0dc7c68672cc4b59,PR
seller_id_0dd912bca4eb92a4,SP
seller_id_0e0d19364ae3c207,MG
seller_id_0e2c7f31b3f7a92f,SP
seller_id_0e464d551e36f661,SP
seller_id_0e5c64e6b5c7e964,SP
seller_id_0e602e77c6fcda28,SP
seller_id_0e6a81a71ac8dde5,SP
seller_id_0e7989eab44cc90d,SP
seller_id_0e79d45bc3d090d9,SP
seller_id_0e9ede9c739625de,SP
seller_id_0ea13ab696e59b1d,MG
seller_id_0ea23e7ee813fc3b,RJ
seller_id_0ea792569b3bcb35,SP
seller_id_0ec0bb31dfc1ae27,MG
seller_id_0ec35914de74692f,SP
seller_id_0ee822bcdba6f48a,SP
seller_id_0ee8adb48028844f,SP
seller_id_0eec2b6cd8cf7cee,RO
seller_id_0f0ae700d7677ffa,RJ
seller_id_0f0b2d1a3945ec89,SP
seller_id_0f0eb3f6604b370f,SP
seller_id_0f661d082809b559,SC
seller_id_0f6bcaa7d58a712d,SP
seller_id_0f7579013747d3b2,GO
seller_id_0f7ef666aa989470,RJ
seller_id_0f8216dab94833fb,PR
seller_id_0f8e7a360483ca6b,SC
seller_id_0f924325f9dcbab4,RS
seller_id_0f9bb12838e91a9d,SP
seller_id_0fb5ea40e3ce146d,PR
seller_id_0fbf240dad023041,SP
seller_id_0fcf6d3a1505d63b,PR
seller_id_0fd2e199b292e4fc,SP
seller_id_0ff9d4fe9ae892c0,SP
seller_id_10094dfc98948c63,SP
seller_id_100dd89636f201d9,RS
seller_id_100edfba2dc810ee,SP
seller_id_1020bb2d4c4d54cc,PR
seller_id_102b44d8c22f830c,SP
seller_id_104035cdc7db2364,SC
seller_id_106fd671383148c2,SP
seller_id_108d617739ef1a4a,SP
seller_id_10a66294deb18252,SP
seller_id_10b87ef531280ba5,PR
seller_id_10c3e55874e9039c,SP
seller_id_10c7ddb936765f51,SP
seller_id_10dd49c84e245d08,SP
seller_id_10e8634340df3d83,MG
seller_id_10ebca1352bab320,SP
seller_id_111ab30e66ce8b8f,PR
seller_id_114a501e6f9bf7ba,SP
seller_id_114cc1cd314211b4,SP
seller_id_115b48c4ee1675dd,SP
seller_id_1163cf902f2ba71f,GO
seller_id_11746f7c08bd1181,DF
seller_id_117757fc9559b043,MS
seller_id_1182e8f8797f59dc,MG
seller_id_119eb322ccbd8302,SC
seller_id_11ca4c85eb6ae105,SP
seller_id_11d36c632ee6841e,SP
seller_id_11d7b8f432f7c9f4,SC
seller_id_11f7bbc10f6f2b77,PR
seller_id_11f9e4834df0f693,RJ
seller_id_12037b9ed0517deb,RJ
seller_id_120ccaf66f679d8b,SP
seller_id_1247f9ff3e90ab0b,SP
seller_id_124973e7c83472bd,SP
seller_id_124a2ca68fb3c1fb,SC
seller_id_128d9bb8273aaac9,SP
seller_id_12a0a60d050041ac,PR
seller_id_12b7a772ace26f44,PR
seller_id_12bc93623c76d574,SP
seller_id_12c82883b24ce5c3,SP
seller_id_12c832abac55d575,MG
seller_id_12ca8e9927cb1e66,SP
seller_id_12f3b3d0e70e8f19,PR
seller_id_1313ea4862916fa8,SP
seller_id_1344b4158bf39cbe,PR
seller_id_135500952f06d5f6,SP
seller_id_136709540d32c8b7,SP
seller_id_13684e989f1845b6,MG
seller_id_136a4ce2e086283e,PR
seller_id_136ac6c145d3040f,SP
seller_id_136f8e79d8d876d6,SP
seller_id_137092640d92058c,PR
seller_id_1379e5f3f9714873,SC
seller_id_137b51318ac7934b,SP
seller_id_13836e19fb409767,SP
seller_id_1399f309f01f9607,SP
seller_id_13a55add6dfb66e4,RJ
seller_id_13acb7e667585c9e,SC
seller_id_13b0dccfc2a9bd5a,PR
seller_id_13c32324909ba0bf,PR
seller_id_13d3e691f2fdbe7c,SP
seller_id_13edaf14a45eda54,SC
seller_id_13f42e17cd202964,PR
seller_id_13f5943169d7e7eb,SP
seller_id_13f839d96e726056,BA
seller_id_140719c1202d0c7f,SP
seller_id_1421f74f028b87a2,SC
seller_id_143a5b89c6eefccd,PR
seller_id_1443ec27897495e5,SP
seller_id_147736349a67af5c,SP
seller_id_14ad6402dc499ddf,SP
seller_id_14b8316d8312cfe0,SP
seller_id_14bba37cd5aae0d3,SP
seller_id_14bee81da449c8bc,MG
seller_id_14d135ed3dd9d410,SP
seller_id_14e143994120be82,MG
seller_id_14f2f03edb85e758,SP
seller_id_14fb8a7da62e2145,SP
seller_id_14fd477ae35727be,SP
seller_id_152887a446d6e8ca,RS
seller_id_153411aa66649d00,SP
seller_id_1535d8bdb900bab9,RJ
seller_id_1542f6b62279e90c,SP
seller_id_156b497925d4ba10,SP
seller_id_15905e38fa803e9b,MG
seller_id_15a3d9cd84e2762e,SP
seller_id_15a5b70fbe0ffc92,SP
seller_id_15bc016d50167a32,PR
seller_id_15bec48282339169,RJ
seller_id_15c131502ed48fd1,PR
seller_id_15c1dd0aa7c7c571,MG
seller_id_15c9e637b32e8b85,RJ
seller_id_15cec7bf5afc7888,SP
seller_id_15d881b931fbde3a,PR
seller_id_15d9c6b6e8fd213d,SP
seller_id_15e75deb158284d0,MG
seller_id_1623c949d65c58aa,SP
seller_id_1624123ca7a9bebe,SP
seller_id_16429c4869c3ed29,SP
seller_id_1669e3c0fed1f836,SP
seller_id_1673492dacfe7f45,SP
seller_id_1675c26aed831be7,SP
seller_id_1688511f34351cc8,PR
seller_id_16a4f6e01b1f188a,SP
seller_id_16ba824c78aa06fe,MG
seller_id_16f8f46d9244b2ea,SP
seller_id_1700917bc475fa6c,SC
seller_id_1701742a9e377605,SP
seller_id_17178e4ab9b52ad7,PR
seller_id_17377b6e4372226d,SP
seller_id_1745836853ba47d7,SP
seller_id_174dcda74322c496,MG
seller_id_175184c2d03575a9,SP
seller_id_177a3022ffb5ed35,SP
seller_id_177d6e802c5155b8,SP
seller_id_1789eadf3b24fd19,RJ
seller_id_17bd5768b5d4e120,SP
seller_id_17f58bc473b24d31,GO
seller_id_18031ac9bf9b44c0,PR
seller_id_181c33556a1f9965,SP
seller_id_182361fd313e3ccc,MS
seller_id_184d37284c4ebdc8,BA
seller_id_185b26db56b121aa,SP
seller_id_186447b2e49e4de9,SP
seller_id_186c013299e8a4b2,SP
seller_id_187b65d0841c4417,AC
seller_id_1887b3a06b6d8590,SC
seller_id_189a929d19b8825e,PR
seller_id_18aabb06079163c9,SP
seller_id_18b31ca4413cc48a,SP
seller_id_18c05cccd43407c6,PR
seller_id_18cb118fdea462c3,SP
seller_id_18f44f5f6f4a1cb6,SP
seller_id_18ff84a594d8a015,SP
seller_id_1902d2809c3c7bd3,PR
seller_id_1902eb2d40e7f353,SP
seller_id_190328a4ec239fe9,RS
seller_id_190406620e1b2d87,SP
seller_id_190fba85251270c8,SP
seller_id_1933122d304e2911,SP
seller_id_1935c74d4bed8b1c,PR
seller_id_194b35d93d91d41d,SP
seller_id_19505621589191e2,GO
seller_id_195bd578b166ba1e,PR
seller_id_195e02bb8f12e208,SP
seller_id_197fc4a26f6b602e,SP
seller_id_1982783260a9405b,RJ
seller_id_19a63fb595813c0d,SC
seller_id_19d6963f816979ac,SP
seller_id_19f15ad7cb554810,RS
seller_id_1a0477341888cfe3,SP
seller_id_1a0bcd576be2b4cd,PR
seller_id_1a2b28ca917c344f,SP
seller_id_1a6a8661f6a46d8a,RJ
seller_id_1a704b361146097d,SC
seller_id_1a759fd430526fca,SP
seller_id_1a8c8ee1e307096a,DF
seller_id_1a989ef13b5cb9e0,MG
seller_id_1aa86ae6f402e4c0,RJ
seller_id_1abff7a2ffb507bc,PR
seller_id_1b1488295f0fc134,MG
seller_id_1b25ddb3e04b73bd,DF
seller_id_1b4ddcc18dd78ba9,SP
seller_id_1b5db2140a11ea39,SC
seller_id_1b7876e17ac678d9,RS
seller_id_1b93607d69344eb1,SP
seller_id_1b9903015c1909f9,SP
seller_id_1ba65ac0cc3bd26c,MG
seller_id_1c3459ecbf9215a1,SP
seller_id_1c5206bce29e8e46,MG
seller_id_1c6f8cf981584ef6,PR
seller_id_1c7c1f6981698b20,SP
seller_id_1c9135be0412ccf3,SP
seller_id_1c9fc87e6468b35a,SP
seller_id_1cafceee855c32c8,SC
seller_id_1cbccf66bf624d4f,RS
seller_id_1cc29d30f56a317f,SP
seller_id_1cee0e50338c5878,SP
seller_id_1d1887ffe45145d6,SC
seller_id_1d1e8946cc2dda07,PR
seller_id_1d1fc7d060b63886,MG
seller_id_1d7e3814fc67148b,SP
seller_id_1d94d7e2b44fdc95,SP
seller_id_1dab330ba30d1211,SP
seller_id_1db204b37b1420bf,RJ
seller_id_1dc0d79df422197a,SP
seller_id_1dd71f07e0ecd91e,GO
seller_id_1de60311354a512c,SP
seller_id_1e03d0251725233c,SP
seller_id_1e2a6d23a75a6a7b,SP
seller_id_1e3239632d603e80,SP
seller_id_1e3d2b82286a4556,PR
seller_id_1e65c2267ab58947,MG
seller_id_1e67b1e78d651123,SC
seller_id_1e68e98e275c14d2,SP
seller_id_1e6b75be698fab7f,SP
seller_id_1e9f44b0f864a656,SP
seller_id_1eab14977e40d3b2,SP
seller_id_1ef4fd2b9d2bb475,SP
seller_id_1efcb5873f1407b9,RS
seller_id_1f2b3f84153a52f9,SP
seller_id_1f3f718eb621a0c8,SP
seller_id_1f4518dad8f4450c,CE
seller_id_1f4dab0a470d25e8,SP
seller_id_1f637a7f9b3a2eee,SP
seller_id_1f6a55e6858ebf51,SP
seller_id_1fb62f980451f357,SP
seller_id_1fbe3c8a9fa689e3,SP
seller_id_1fd2bd52ffdfb3d2,PR
seller_id_1fe4b48fbbcaf077,SP
seller_id_1fea31c0bd69e72b,SP
seller_id_20179b6118d66fd6,SP
seller_id_201b0c65bd3a1043,SP
seller_id_201fcc4983db94ac,SP
seller_id_202fdd725554181b,PR
seller_id_20961f9768f3a789,SP
seller_id_2099a413ddda6e66,SP
seller_id_20ad14b11027dc06,SP
seller_id_20c22d1054f85fb7,SP
seller_id_20c786127cc589a9,SP
seller_id_20e3ae419667af29,SP
seller_id_212faf65bd06cb62,SC
seller_id_215cb6c0c7219f61,MG
seller_id_216b4d0c3cd8d1a0,SP
seller_id_21b984f620f240f2,SP
seller_id_21c9139c20fe9024,SP
seller_id_21dd8721a9d6c428,SP
seller_id_21f31bfae9a9e15e,RJ
seller_id_21f5d21f03340538,SP
seller_id_21f86cb78522a41b,SP
seller_id_21f8f2c3cd275229,SP
seller_id_220525d3a0a90988,PR
seller_id_22126dfc8df3fae9,PR
seller_id_2237a0232ec74dd3,SP
seller_id_2250015f73fa5f0c,SP
seller_id_2276480bb6dd355f,SC
seller_id_2290fa8b3362b98d,SP
seller_id_22949928a36295c1,SP
seller_id_22a906d5e727d3a1,SP
seller_id_22b883a2026a8769,SP
seller_id_22bbc387174acd96,RJ
seller_id_22d4a47a4778c92b,SP
seller_id_2306aaa499899431,PR
seller_id_230d1da7e2bd9895,SP
seller_id_2319e0ca98f4b70b,MG
seller_id_234cd9ea35b661d1,RS
seller_id_23885edec36866a8,SP
seller_id_238c0893dd4329dc,RJ
seller_id_23a791dca2f1bacd,SP
seller_id_23a8ded90fcc3249,SP
seller_id_23ad43201ac42b6b,SP
seller_id_23bc41dc16fcaf84,SP
seller_id_23d148ada57c3ce6,PR
seller_id_2423cf7113919f1d,MG
seller_id_2443881713bed1e4,RJ
seller_id_245858cc58238b94,RS
seller_id_246ffd1ce694e56a,SP
seller_id_24d409e6d1ac8aa7,SP
seller_id_24efb64e68cfed20,SC
seller_id_2503a51ed865ad9a,SP
seller_id_250e6b5aa60df42c,SP
seller_id_252976c12ae9c7ac,PI
seller_id_2551cda45c69a795,PR
seller_id_255b501798b5a613,SC
seller_id_256c69cc81c798d4,SP
seller_id_2570eba831c41a50,PR
seller_id_25766c16ff1edb32,SP
seller_id_257c813a32a77603,SC
seller_id_25873cfbaeae18c7,SP
seller_id_25913ebdd461f54e,SP
seller_id_25aee4a29641f450,SC
seller_id_25b78dc8ceef98b1,MG
seller_id_25efb8cd501e24f1,SP
seller_id_25f0eda95472d3fc,MG
seller_id_25fa5ff13cb84e6f,SP
seller_id_25ff9a089cb1f72b,SC
seller_id_261d9ae8d9308f8e,SP
seller_id_263582689956efcf,SP
seller_id_26385468dc4ee287,SP
seller_id_264c3421d4323834,SP
seller_id_265ca1c5a2135d02,MG
seller_id_266892b4546907a1,SP
seller_id_269319b5f64e3b21,SP
seller_id_2697160f3b3011f5,SP
seller_id_269fc6e4b832dff4,SP
seller_id_26b350efc64f630b,SP
seller_id_26c45c8b1f4ddf19,MG
seller_id_26f54cf300b3a5ec,RJ
seller_id_26fe62b4dd599049,SP
seller_id_275d7cca69449739,PR
seller_id_276c1d7bce7b7507,SP
seller_id_277cbe9823ce4bce,SP
seller_id_278d7b51ca361d81,PR
seller_id_2791ff33a749ae00,PR
seller_id_27adc965882180ad,SP
seller_id_27be3899e12fcdea,SP
seller_id_27f35f9450d6be7b,SP
seller_id_27f453f451955791,SC
seller_id_27f8e0ccf43a824f,SP
seller_id_28210871f3b648f7,SP
seller_id_282b5b3e0f4bb297,SP
seller_id_2832941a120d6bbb,SP
seller_id_2851927edccaeac2,SP
seller_id_285b3fa84823ddcd,SP
seller_id_2860058affee8d5e,RJ
seller_id_288fd637ccd229b4,SP
seller_id_28aed0b26b8277c0,RJ
seller_id_28e00ab8830a7022,SP
seller_id_28e28ec4953080c5,RJ
seller_id_28eaa3d327d2c8ec,SP
seller_id_28f4221b3226d8b4,PR
seller_id_28f8f4a6d9b65ceb,SP
seller_id_292702fac507f3c7,SP
seller_id_2939a60483f36efa,PR
seller_id_293d97bdd47a033a,PR
seller_id_294b62d5ad607f7b,SP
seller_id_29aa9cc1c240c96e,SP
seller_id_29c5508e0bde48bf,SP
seller_id_29d8a85a1e1d2c86,MG
seller_id_29da9edc7905cca4,RJ
seller_id_29ddc8d9c78ac1b1,SP
seller_id_2a0cd33829b30dc1,RJ
seller_id_2a0fe16de4d78a85,SP
seller_id_2a14222588cb6f00,MG
seller_id_2a14d9a95df2071f,GO
seller_id_2a1e83793c5c6cdf,SP
seller_id_2a2f0f6be1529e91,SP
seller_id_2a3111176f2a9d58,SP
seller_id_2a46c8f1be80de3b,SP
seller_id_2a697b9caef5051d,SP
seller_id_2a75079b5edaa36b,SP
seller_id_2a98140b83cf90bb,SP
seller_id_2ab03942fe9fdd12,RJ
seller_id_2abd3dd97d7ff479,RJ
seller_id_2abffaea0b3fb978,SP
seller_id_2ac29cf3c80c2fe9,SP
seller_id_2ac9831d9326af6a,SP
seller_id_2ad168f36da884ee,SC
seller_id_2b0718c66898da35,SP
seller_id_2b100501028d5c3f,SP
seller_id_2b1cc94c3b4fc9a7,SP
seller_id_2b2087707d3debe1,SP
seller_id_2b2b09c933382450,RJ
seller_id_2b51362c32731a06,SP
seller_id_2b518619cfa8d0a3,MG
seller_id_2b553cac80304b98,MG
seller_id_2b5d61dd212f1d9a,MG
seller_id_2b61e2e3e0ee571f,SP
seller_id_2b66907617506637,MG
seller_id_2b7359f7c551b017,SP
seller_id_2b77ca2bae58b025,SP
seller_id_2b83b8534e47a0fd,SP
seller_id_2b908c19c0571759,SP
seller_id_2b980d55ec592293,SC
seller_id_2b9b15cc31faf4e1,SC
seller_id_2b9c5b1419044c66,SP
seller_id_2ba80e0624070dff,RJ
seller_id_2bab1fda6304bb18,SP
seller_id_2bb1bd64c85ee5b6,GO
seller_id_2bbc63436b9e6120,BA
seller_id_2bc805c7d6f077d1,SP
seller_id_2bdc29b3d823b5ea,PE
seller_id_2bf6745078cfa43f,RJ
seller_id_2c087e46b5ac55f0,SP
seller_id_2c2bbf0e0053d5c5,SP
seller_id_2c678bd660f2d6c3,SP
seller_id_2c7588f6ff134ecc,SP
seller_id_2c86bc05d34682bd,PR
seller_id_2cb8688b1976da04,RS
seller_id_2cc133dafc8119b0,SP
seller_id_2cc1b266906690d6,SP
seller_id_2cfc204223139c33,GO
seller_id_2d05843aff4fed4c,SP
seller_id_2d0d701716321be4,RS
seller_id_2d1242a534e80b1a,SP
seller_id_2d2b9a7b56650e1c,SP
seller_id_2d4878238ec99d95,SP
seller_id_2d5bd7c1191ee9e8,SP
seller_id_2d7aca3c499ba4a3,SP
seller_id_2d8d8c99cabcec3b,SP
seller_id_2d91971c32440ea5,SP
seller_id_2d9ce093ce2a0253,SP
seller_id_2dc2478a10f1c7e4,RJ
seller_id_2dc847d07b781e0f,SP
seller_id_2dd6eabce0fc4bc1,SP
seller_id_2dd8179cb5bc9c1b,SP
seller_id_2e0fc63047192bcd,SP
seller_id_2e26016b55d34264,SP
seller_id_2e388181a3761f83,SP
seller_id_2e402c87a217c358,SP
seller_id_2e53225c293437d0,SP
seller_id_2e5bed3d8b2e76a9,SC
seller_id_2e65da17da5a67e2,SP
seller_id_2ebb53bd532ff775,SC
seller_id_2ee69d346ed5b3d0,SC
seller_id_2f05b42bbb2fb923,SP
seller_id_2f7538596aaf440b,GO
seller_id_2f7afaf1279575b6,SP
seller_id_2fa335bae8bdb848,RJ
seller_id_2fa933d22586b44b,PR
seller_id_2fbcefc2b9f4a75d,PR
seller_id_2fbfb44e00bec0d4,SP
seller_id_2ff814185f9d5a31,PR
seller_id_300ca53f897e4f0d,SP
seller_id_3026137acd6462c3,SP
seller_id_30265c84ee24a79a,DF
seller_id_302b27d2dea92113,SC
seller_id_302b9d2b487bfcd7,PR
seller_id_305b3775452c9c67,SP
seller_id_305f784a7e155f44,MG
seller_id_308642ad2ecd8668,SP
seller_id_308fbcadfb48422d,SP
seller_id_310f81c10bb6f2c6,SP
seller_id_3114564376bf3813,MG
seller_id_3125d8f0e8cee3ac,SP
seller_id_3126029cdc09d9a4,PR
seller_id_312a3703c063094a,SP
seller_id_3132b09e6e5bb3c5,SP
seller_id_3150eb775511e7ff,SP
seller_id_3166b539b74ce4ce,CE
seller_id_318572a941dde4eb,SP
seller_id_319452831eca270b,SP
seller_id_31b31a1d6086ebd9,GO
seller_id_31b50d986e9a7a77,RN
seller_id_31d015b775f09606,PR
seller_id_31e711a337293861,SP
seller_id_320ca9be3f24f2a2,GO
seller_id_3221593986439599,SP
seller_id_32275f4b18a11c7d,SP
seller_id_323528ce79617029,SP
seller_id_323a3c9349fa715b,SP
seller_id_3242b7df3f672665,SP
seller_id_325cd3315fec06e1,MG
seller_id_3278d3918759759c,SP
seller_id_3286fa742165a662,SP
seller_id_329d97ebcb0b778f,MG
seller_id_32bbc9d9315db595,SP
seller_id_32c4918fb27c1bb4,SP
seller_id_32d7716ed3cd1f98,PR
seller_id_33101600bda698b5,SP
seller_id_331d4222c517cea6,RS
seller_id_333b3e06fe4c377f,MG
seller_id_335c76be2b71c584,RJ
seller_id_336561f99f513551,SP
seller_id_3372e8ce7716c733,MG
seller_id_337daa5258c1c2be,SP
seller_id_337e9d0dc0569061,SP
seller_id_33866de3e009a8e8,ES
seller_id_338cb7149d5a5d55,SP
seller_id_3396b059cbcfc38f,PR
seller_id_339bed09638a6cdb,MA
seller_id_339ea3ccb9ef643b,PR
seller_id_33a707e1f7f06fb7,SP
seller_id_33abbdf6bfc1236b,SP
seller_id_33afc268805d6a88,SP
seller_id_33ccfe8bc1abd585,SP
seller_id_340e412921a5abbc,SP
seller_id_3424ea5472a5c587,SP
seller_id_344cf3c7356dba2b,SP
seller_id_3450e9dc36b2aba4,SP
seller_id_34a69953f9394b30,CE
seller_id_34c9f136d6281383,SP
seller_id_34d27737e79498e9,MG
seller_id_34d50c11df6ff38a,RJ
seller_id_35054e5d2204a31c,RJ
seller_id_350a3563edd71ec6,SP
seller_id_3529ea1f2fbc9d6c,SP
seller_id_3558284f0dbd12a5,SP
seller_id_35629f862e0eb20e,SC
seller_id_35a6655849ad459e,SC
seller_id_35ae3723171a359b,RJ
seller_id_35af1c03e63577d2,SP
seller_id_35b60daeb2d1cdb3,SP
seller_id_35bacef5723a068d,MG
seller_id_35df365d4f568f03,RJ
seller_id_35f498b567e93580,RS
seller_id_36172442d47797f0,SC
seller_id_3623abd60d90c0ac,PR
seller_id_36264f60103fa76e,SP
seller_id_363b521bddd456d6,SP
seller_id_36612bc82879da80,SP
seller_id_366f011fdc5b247a,SP
seller_id_36ad3f66cd84e8dd,SP
seller_id_36b4f39b5ef4e855,PB
seller_id_36dd8a19b5b8c540,PR
seller_id_36f59704ebb8b5dc,SP
seller_id_373c1bf4d1ab059d,MG
seller_id_37416f8d2489ea93,SP
seller_id_374f8aa65786ff0d,SC
seller_id_3756a20ae4c51d28,MG
seller_id_375e1a0890e4be1d,SP
seller_id_3769b1aeb316ab04,RJ
seller_id_376f8cad5b0c347b,SP
seller_id_37a2e45cea521641,SP
seller_id_37c8c7c35c7b6d82,SP
seller_id_37f5e47b51a5efa9,RS
seller_id_38085704f0e8578b,RJ
seller_id_380d0488670f8b02,MG
seller_id_3840aaa280d699d6,SP
seller_id_384aff23b7e363aa,MT
seller_id_3887f2b14349c2ac,SP
seller_id_38c9f84ac608716d,SP
seller_id_38d3911abb83b46e,MT
seller_id_38f95f362e7e88fa,PR
