product_key;product_category_name;product_category_name_english;category_label;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm
product_id_004e29a93c463917;utilidades_domesticas;housewares;housewares;59.0;194.0;2.0;2100.0;48.0;26.0;28.0
product_id_0051ee73ca3da3d5;automotivo;auto;auto;58.0;2030.0;1.0;1350.0;35.0;15.0;29.0
product_id_00532f0cc2eb6ae1;utilidades_domesticas;housewares;housewares;51.0;1224.0;2.0;200.0;26.0;3.0;21.0
product_id_00543124e8c34f1c;cama_mesa_banho;bed_bath_table;bed_bath_table;52.0;346.0;1.0;400.0;16.0;10.0;16.0
product_id_005458c9cba40f79;fashion_bolsas_e_acessorios;fashion_bags_accessories;fashion_bags_accessories;49.0;72.0;4.0;100.0;17.0;7.0;12.0
product_id_0057bc5c4bd84c44;esporte_lazer;sports_leisure;sports_leisure;42.0;499.0;1.0;1067.0;25.0;28.0;14.0
product_id_005a6ff1b43165f9;beleza_saude;health_beauty;health_beauty;52.0;676.0;1.0;350.0;30.0;12.0;16.0
product_id_005abc46cdddd3a7;beleza_saude;health_beauty;health_beauty;49.0;787.0;1.0;50.0;16.0;11.0;16.0
product_id_005bd6933440432e;utilidades_domesticas;housewares;housewares;38.0;270.0;1.0;600.0;16.0;26.0;11.0
product_id_005da64350f9ff1f;beleza_saude;health_beauty;health_beauty;60.0;751.0;2.0;150.0;20.0;10.0;15.0
product_id_00616e2724dff6fc;telefonia;telephony;telephony;59.0;818.0;5.0;150.0;17.0;4.0;12.0
product_id_0063255ba1d7e9a9;cama_mesa_banho;bed_bath_table;bed_bath_table;60.0;643.0;2.0;1800.0;38.0;7.0;28.0
product_id_006752fd7dbce0bd;utilidades_domesticas;housewares;housewares;53.0;532.0;1.0;250.0;20.0;3.0;20.0
product_id_006941f464cdf6e3;esporte_lazer;sports_leisure;sports_leisure;35.0;1660.0;1.0;200.0;16.0;16.0;16.0
product_id_0069873d6f764e49;esporte_lazer;sports_leisure;sports_leisure;46.0;2018.0;1.0;1400.0;16.0;2.0;11.0
product_id_006c3d1cc8f334b3;moveis_escritorio;office_furniture;office_furniture;41.0;1466.0;1.0;13950.0;63.0;26.0;43.0
product_id_006c49a6cc243f2e;fashion_esporte;fashion_sport;fashion_sport;29.0;404.0;2.0;400.0;16.0;10.0;11.0
product_id_0071248c5187cda5;moveis_decoracao;furniture_decor;furniture_decor;54.0;649.0;1.0;6900.0;100.0;25.0;25.0
product_id_00733af6ed40425d;utilidades_domesticas;housewares;housewares;55.0;343.0;2.0;5550.0;40.0;10.0;30.0
product_id_0073f03fb10c1b7b;automotivo;auto;auto;51.0;2165.0;1.0;2646.0;19.0;24.0;12.0
product_id_007546f6f8d6d7ee;fashion_bolsas_e_acessorios;fashion_bags_accessories;fashion_bags_accessories;59.0;1469.0;3.0;150.0;25.0;8.0;18.0
product_id_0076a2649c3bfab4;relogios_presentes;watches_gifts;watches_gifts;51.0;484.0;1.0;317.0;19.0;13.0;16.0
product_id_00796667f5d08b5f;cama_mesa_banho;bed_bath_table;bed_bath_table;46.0;125.0;1.0;1975.0;34.0;14.0;21.0
product_id_007b40b8c508de87;esporte_lazer;sports_leisure;sports_leisure;49.0;1141.0;2.0;400.0;19.0;11.0;37.0
product_id_007c85853efbdfcb;moveis_decoracao;furniture_decor;furniture_decor;60.0;149.0;1.0;500.0;30.0;16.0;26.0
product_id_007e683b152d950d;;;unknown;;;;300.0;16.0;8.0;11.0
product_id_007ede80fd662489;bebes;baby;baby;35.0;301.0;1.0;500.0;33.0;8.0;31.0
product_id_007edf674e046f65;consoles_games;consoles_games;consoles_games;60.0;654.0;9.0;1150.0;46.0;7.0;33.0
product_id_007f84387c911ac0;telefonia;telephony;telephony;54.0;1110.0;1.0;200.0;19.0;4.0;11.0
product_id_007ff6bfa2c36645;moveis_decoracao;furniture_decor;furniture_decor;40.0;409.0;5.0;700.0;24.0;19.0;22.0
product_id_0083173946b4ebdc;utilidades_domesticas;housewares;housewares;36.0;2208.0;2.0;700.0;31.0;14.0;31.0
product_id_00861b7f31990117;moveis_decoracao;furniture_decor;furniture_decor;49.0;829.0;1.0;850.0;20.0;25.0;20.0
product_id_008c0694b6ac9d06;esporte_lazer;sports_leisure;sports_leisure;50.0;1354.0;1.0;6600.0;30.0;30.0;30.0
product_id_008cf80b8405c249;esporte_lazer;sports_leisure;sports_leisure;33.0;371.0;5.0;100.0;16.0;12.0;11.0
product_id_00902debe15b4a48;bebes;baby;baby;48.0;224.0;2.0;8050.0;75.0;15.0;50.0
product_id_00917a7d28aed437;moveis_decoracao;furniture_decor;furniture_decor;62.0;1699.0;1.0;700.0;60.0;11.0;11.0
product_id_009239d4a2d48b76;eletrodomesticos;home_appliances;home_appliances;55.0;251.0;1.0;50.0;17.0;7.0;13.0
product_id_0094ac7f1a1dce84;moveis_decoracao;furniture_decor;furniture_decor;51.0;1988.0;3.0;2250.0;65.0;8.0;45.0
product_id_0096470c0d2b05d1;cama_mesa_banho;bed_bath_table;bed_bath_table;47.0;207.0;1.0;13700.0;65.0;35.0;45.0
product_id_009a4b8cc434d04f;informatica_acessorios;computers_accessories;computers_accessories;56.0;815.0;4.0;1400.0;17.0;10.0;12.0
product_id_009b2b84fb984762;esporte_lazer;sports_leisure;sports_leisure;55.0;1381.0;4.0;1050.0;40.0;20.0;20.0
product_id_00a20859a7166f41;utilidades_domesticas;housewares;housewares;58.0;1782.0;1.0;1250.0;22.0;36.0;22.0
product_id_00a5318a8f8f0f2e;ferramentas_jardim;garden_tools;garden_tools;58.0;1318.0;1.0;2500.0;20.0;10.0;20.0
product_id_00a686754642e060;esporte_lazer;sports_leisure;sports_leisure;46.0;735.0;1.0;175.0;22.0;7.0;14.0
product_id_00a9a61f78445045;esporte_lazer;sports_leisure;sports_leisure;47.0;569.0;1.0;400.0;16.0;10.0;11.0
product_id_00aa29a3dd8fa601;automotivo;auto;auto;52.0;147.0;3.0;100.0;20.0;3.0;17.0
product_id_00ac59414420a92a;cama_mesa_banho;bed_bath_table;bed_bath_table;50.0;607.0;1.0;6450.0;100.0;10.0;11.0
product_id_00b133cbfe21337f;papelaria;stationery;stationery;48.0;136.0;1.0;550.0;29.0;13.0;12.0
product_id_00b3b385362e20da;perfumaria;perfumery;perfumery;30.0;138.0;1.0;100.0;20.0;5.0;20.0
product_id_00b460fd5f995c0d;pet_shop;pet_shop;pet_shop;33.0;964.0;1.0;4600.0;46.0;27.0;28.0
product_id_00b4dc05083246cd;audio;audio;audio;27.0;1479.0;2.0;300.0;20.0;16.0;16.0
product_id_00b5e3731a1621af;construcao_ferramentas_construcao;construction_tools_construction;construction_tools_construction;59.0;896.0;4.0;2500.0;40.0;10.0;26.0
product_id_00bcb40689cadea3;esporte_lazer;sports_leisure;sports_leisure;26.0;715.0;1.0;397.0;18.0;17.0;17.0
product_id_00bd09418cea4287;esporte_lazer;sports_leisure;sports_leisure;35.0;1563.0;1.0;400.0;16.0;16.0;11.0
product_id_00bd7c190c7f71f1;cama_mesa_banho;bed_bath_table;bed_bath_table;53.0;637.0;1.0;1350.0;16.0;10.0;16.0
product_id_00c782b0222707db;cama_mesa_banho;bed_bath_table;bed_bath_table;53.0;382.0;1.0;600.0;16.0;10.0;16.0
product_id_00c7c25b50a74ab0;papelaria;stationery;stationery;56.0;281.0;1.0;250.0;16.0;4.0;13.0
product_id_00c95290da518da6;bebes;baby;baby;49.0;815.0;5.0;450.0;32.0;11.0;32.0
product_id_00cc3f299236d5be;brinquedos;toys;toys;50.0;2048.0;2.0;300.0;20.0;10.0;15.0
product_id_00cf034e8f184140;malas_acessorios;luggage_accessories;luggage_accessories;44.0;224.0;1.0;750.0;46.0;10.0;33.0
product_id_00d2c415983887a4;utilidades_domesticas;housewares;housewares;50.0;431.0;1.0;3250.0;23.0;5.0;23.0
product_id_00d63aa5b13d7982;moveis_decoracao;furniture_decor;furniture_decor;60.0;236.0;1.0;30000.0;65.0;45.0;65.0
product_id_00d82fb778b6ddbe;;;unknown;;;;100.0;16.0;16.0;16.0
product_id_00d84cb5ae3971c9;esporte_lazer;sports_leisure;sports_leisure;60.0;633.0;1.0;1500.0;30.0;40.0;40.0
product_id_00d8bb2dbc269ebf;automotivo;auto;auto;60.0;260.0;3.0;100.0;24.0;2.0;17.0
product_id_00def4eb0a7ef820;sinalizacao_e_seguranca;signaling_and_security;signaling_and_security;59.0;2157.0;3.0;10150.0;45.0;30.0;45.0
product_id_00e37070d87f1acf;eletronicos;electronics;electronics;57.0;1583.0;5.0;400.0;20.0;4.0;13.0
product_id_00e370b73d0b964d;climatizacao;air_conditioning;air_conditioning;55.0;296.0;1.0;7333.0;51.0;46.0;31.0
product_id_00e57971691c7a40;moveis_decoracao;furniture_decor;furniture_decor;46.0;107.0;1.0;1850.0;45.0;5.0;45.0
product_id_00e9bc225f75588e;pcs;computers;computers;50.0;1869.0;5.0;1700.0;36.0;6.0;33.0
product_id_00eb3feb47b7a310;fashion_bolsas_e_acessorios;fashion_bags_accessories;fashion_bags_accessories;24.0;532.0;5.0;300.0;16.0;12.0;12.0
product_id_00ec014e013339ac;relogios_presentes;watches_gifts;watches_gifts;60.0;733.0;1.0;300.0;16.0;2.0;20.0
product_id_00ec570fe395d41c;beleza_saude;health_beauty;health_beauty;35.0;1014.0;1.0;599.0;16.0;10.0;14.0
product_id_00ecfeb648e20053;informatica_acessorios;computers_accessories;computers_accessories;54.0;365.0;1.0;825.0;30.0;15.0;15.0
product_id_00ee5aac8d5b6ceb;informatica_acessorios;computers_accessories;computers_accessories;31.0;600.0;2.0;500.0;19.0;9.0;16.0
product_id_00efd46dff1c037f;moveis_decoracao;furniture_decor;furniture_decor;60.0;369.0;1.0;7000.0;45.0;18.0;35.0
product_id_00eff73a1fff8d38;fashion_bolsas_e_acessorios;fashion_bags_accessories;fashion_bags_accessories;59.0;1718.0;5.0;100.0;17.0;5.0;19.0
product_id_00f1e1576ec82176;construcao_ferramentas_construcao;construction_tools_construction;construction_tools_construction;60.0;1104.0;1.0;1630.0;18.0;15.0;14.0
product_id_00f21ad961e77d8a;utilidades_domesticas;housewares;housewares;63.0;447.0;3.0;1250.0;38.0;10.0;24.0
product_id_00f23a19299b640e;relogios_presentes;watches_gifts;watches_gifts;46.0;451.0;4.0;250.0;16.0;13.0;13.0
product_id_00f24fe24fa3fd26;;;unknown;;;;250.0;17.0;14.0;16.0
product_id_00f2f766ab705119;esporte_lazer;sports_leisure;sports_leisure;53.0;241.0;2.0;1950.0;60.0;15.0;15.0
product_id_00f3c54ae730fe93;utilidades_domesticas;housewares;housewares;53.0;1274.0;1.0;6050.0;35.0;12.0;55.0
product_id_00f4b79c229123ab;fashion_bolsas_e_acessorios;fashion_bags_accessories;fashion_bags_accessories;59.0;417.0;3.0;300.0;16.0;9.0;20.0
product_id_00f5ec4e1b7300a5;relogios_presentes;watches_gifts;watches_gifts;41.0;733.0;3.0;200.0;16.0;13.0;13.0
product_id_00f707193ae3f9b6;papelaria;stationery;stationery;42.0;177.0;2.0;288.0;20.0;19.0;17.0
product_id_00f8ba38e153acd1;cool_stuff;cool_stuff;cool_stuff;56.0;1826.0;1.0;2000.0;28.0;19.0;21.0
product_id_00f9a25ae2f7ae93;fashion_bolsas_e_acessorios;fashion_bags_accessories;fashion_bags_accessories;40.0;233.0;1.0;200.0;24.0;9.0;16.0
product_id_00fc1e717a47fbba;cama_mesa_banho;bed_bath_table;bed_bath_table;56.0;286.0;1.0;1850.0;70.0;17.0;50.0
product_id_01012d1acf61057b;instrumentos_musicais;musical_instruments;musical_instruments;53.0;413.0;1.0;50.0;16.0;2.0;12.0
product_id_01017773433f24e7;moveis_escritorio;office_furniture;office_furniture;53.0;1084.0;1.0;30000.0;48.0;45.0;56.0
product_id_0101fc6f73ec65fa;eletronicos;electronics;electronics;36.0;515.0;3.0;125.0;16.0;3.0;20.0
product_id_010264b32f2ee595;perfumaria;perfumery;perfumery;57.0;1010.0;1.0;550.0;22.0;16.0;16.0
product_id_010595f7fa7af151;portateis_casa_forno_e_cafe;small_appliances_home_oven_and_coffee;small_appliances_home_oven_and_coffee;52.0;755.0;2.0;2350.0;28.0;34.0;20.0
product_id_0107d3ccf9b19a68;automotivo;auto;auto;60.0;703.0;6.0;6300.0;47.0;19.0;23.0
product_id_0108180724ff6265;cama_mesa_banho;bed_bath_table;bed_bath_table;35.0;509.0;2.0;950.0;35.0;6.0;45.0
product_id_01098f8a6ead821f;utilidades_domesticas;housewares;housewares;31.0;815.0;3.0;400.0;31.0;3.0;11.0
product_id_010b6f0bd20cab33;esporte_lazer;sports_leisure;sports_leisure;58.0;474.0;5.0;1200.0;20.0;8.0;20.0
product_id_010c701de4713390;construcao_ferramentas_iluminacao;construction_tools_lights;construction_tools_lights;57.0;1380.0;1.0;1650.0;34.0;33.0;11.0
product_id_0115c10e88caafac;moveis_decoracao;furniture_decor;furniture_decor;54.0;284.0;2.0;14500.0;35.0;30.0;35.0
product_id_011a8025d9c83d7c;informatica_acessorios;computers_accessories;computers_accessories;44.0;758.0;1.0;550.0;35.0;10.0;12.0
product_id_011ba1d7896d3691;pet_shop;pet_shop;pet_shop;55.0;678.0;4.0;11900.0;50.0;37.0;37.0
product_id_01201e894bb426a0;construcao_ferramentas_construcao;construction_tools_construction;construction_tools_construction;32.0;424.0;1.0;333.0;25.0;11.0;19.0
product_id_0121174b38df81c1;eletronicos;electronics;electronics;46.0;2305.0;1.0;200.0;26.0;7.0;16.0
product_id_012167059e8abed5;cama_mesa_banho;bed_bath_table;bed_bath_table;55.0;458.0;1.0;550.0;30.0;3.0;19.0
product_id_01268e744c95bcdb;cool_stuff;cool_stuff;cool_stuff;60.0;1484.0;4.0;700.0;22.0;6.0;18.0
product_id_0126b7d84fcfdf58;bebidas;drinks;drinks;51.0;823.0;2.0;300.0;16.0;10.0;11.0
product_id_01289cca54f3a143;relogios_presentes;watches_gifts;watches_gifts;50.0;668.0;1.0;500.0;23.0;16.0;16.0
product_id_012912528073f542;beleza_saude;health_beauty;health_beauty;40.0;422.0;1.0;400.0;16.0;10.0;20.0
product_id_0129f2948a7f04d2;esporte_lazer;sports_leisure;sports_leisure;31.0;598.0;1.0;300.0;18.0;18.0;18.0
product_id_012a176e63c7fc1b;moveis_decoracao;furniture_decor;furniture_decor;57.0;2016.0;2.0;550.0;68.0;8.0;13.0
product_id_012b759b95f1a81d;moveis_decoracao;furniture_decor;furniture_decor;57.0;130.0;1.0;2400.0;40.0;9.0;35.0
product_id_012bbe60097c67cb;construcao_ferramentas_construcao;construction_tools_construction;construction_tools_construction;60.0;996.0;1.0;2450.0;16.0;20.0;15.0
product_id_012d7cae06f95695;automotivo;auto;auto;57.0;1187.0;4.0;1650.0;30.0;30.0;30.0
product_id_0130a33c137d201f;livros_tecnicos;books_technical;books_technical;36.0;739.0;1.0;450.0;23.0;2.0;16.0
product_id_0131f918e171b83d;relogios_presentes;watches_gifts;watches_gifts;58.0;485.0;3.0;1000.0;17.0;10.0;16.0
product_id_01320c304f4aa541;instrumentos_musicais;musical_instruments;musical_instruments;51.0;238.0;2.0;3700.0;20.0;20.0;20.0
product_id_01361436b03bc6a8;automotivo;auto;auto;59.0;367.0;1.0;6000.0;25.0;30.0;25.0
product_id_01381fa4b3a51c34;ferramentas_jardim;garden_tools;garden_tools;57.0;171.0;7.0;300.0;20.0;10.0;15.0
product_id_013a0c95c837391c;malas_acessorios;luggage_accessories;luggage_accessories;38.0;209.0;1.0;750.0;49.0;10.0;33.0
product_id_013c955b77b8a92c;utilidades_domesticas;housewares;housewares;43.0;542.0;4.0;1600.0;38.0;20.0;16.0
product_id_013d71e3afad2201;ferramentas_jardim;garden_tools;garden_tools;41.0;1749.0;5.0;2500.0;28.0;9.0;23.0
product_id_013fffa456454aa2;relogios_presentes;watches_gifts;watches_gifts;60.0;89.0;4.0;250.0;16.0;2.0;11.0
product_id_01428edd8d00c540;esporte_lazer;sports_leisure;sports_leisure;49.0;1485.0;2.0;210.0;17.0;13.0;16.0
product_id_01447d6ebb4643d7;esporte_lazer;sports_leisure;sports_leisure;37.0;1338.0;1.0;250.0;18.0;13.0;16.0
product_id_01495add3e22987b;moveis_decoracao;furniture_decor;furniture_decor;49.0;170.0;2.0;6000.0;60.0;30.0;35.0
product_id_0149c06faac047a5;relogios_presentes;watches_gifts;watches_gifts;59.0;530.0;4.0;300.0;16.0;2.0;11.0
product_id_014a561d274e2844;papelaria;stationery;stationery;36.0;96.0;3.0;300.0;25.0;15.0;20.0
product_id_014a79b0ba32dbac;utilidades_domesticas;housewares;housewares;35.0;626.0;1.0;17050.0;44.0;44.0;25.0
product_id_014dffc9c6737cbb;cama_mesa_banho;bed_bath_table;bed_bath_table;53.0;282.0;1.0;1000.0;33.0;4.0;32.0
product_id_014e8ae566aaa1bd;esporte_lazer;sports_leisure;sports_leisure;55.0;791.0;1.0;5750.0;33.0;15.0;18.0
product_id_015145d4e8a1ce4f;fashion_bolsas_e_acessorios;fashion_bags_accessories;fashion_bags_accessories;52.0;73.0;1.0;200.0;16.0;2.0;11.0
product_id_01535678c8afd2bd;utilidades_domesticas;housewares;housewares;31.0;875.0;2.0;30000.0;60.0;61.0;33.0
product_id_0156853364631f08;livros_tecnicos;books_technical;books_technical;51.0;449.0;2.0;500.0;90.0;11.0;11.0
product_id_015690af656ec103;cama_mesa_banho;bed_bath_table;bed_bath_table;50.0;204.0;1.0;2900.0;55.0;25.0;35.0
product_id_0158f2a7e4e3716c;moveis_decoracao;furniture_decor;furniture_decor;56.0;1271.0;3.0;5400.0;46.0;7.0;46.0
product_id_01595ec50793072e;pet_shop;pet_shop;pet_shop;55.0;499.0;4.0;200.0;27.0;9.0;26.0
product_id_015a6c0adb38b0a8;casa_construcao;home_construction;home_construction;55.0;918.0;6.0;1050.0;16.0;20.0;16.0
product_id_015b78ad67d64092;informatica_acessorios;computers_accessories;computers_accessories;58.0;240.0;1.0;150.0;35.0;8.0;11.0
product_id_015cb0c54c923126;esporte_lazer;sports_leisure;sports_leisure;53.0;1326.0;1.0;400.0;25.0;8.0;18.0
product_id_015d0b40388bcf1c;moveis_decoracao;furniture_decor;furniture_decor;41.0;411.0;1.0;4800.0;62.0;6.0;62.0
product_id_015dddc4d1cba041;cama_mesa_banho;bed_bath_table;bed_bath_table;52.0;217.0;2.0;1800.0;30.0;25.0;25.0
product_id_016349cc61936314;esporte_lazer;sports_leisure;sports_leisure;21.0;260.0;1.0;100.0;16.0;14.0;14.0
product_id_0164c229eea480ba;cama_mesa_banho;bed_bath_table;bed_bath_table;60.0;270.0;1.0;1350.0;34.0;7.0;32.0
product_id_0165bac2ef569b6b;cama_mesa_banho;bed_bath_table;bed_bath_table;59.0;123.0;2.0;350.0;50.0;8.0;34.0
product_id_01672ae7735adb61;relogios_presentes;watches_gifts;watches_gifts;39.0;622.0;1.0;340.0;18.0;9.0;13.0
product_id_016a12d7a53a0cbd;automotivo;auto;auto;57.0;744.0;5.0;1250.0;30.0;30.0;30.0
product_id_016db7688aa2a199;musica;music;music;35.0;386.0;2.0;300.0;25.0;11.0;16.0
product_id_016e180bb147ab35;cama_mesa_banho;bed_bath_table;bed_bath_table;58.0;124.0;2.0;6350.0;95.0;8.0;50.0
product_id_01742f8908adc0f0;fashion_esporte;fashion_sport;fashion_sport;55.0;511.0;2.0;100.0;16.0;12.0;12.0
product_id_017491ab70d6468d;utilidades_domesticas;housewares;housewares;55.0;1355.0;4.0;375.0;16.0;10.0;18.0
product_id_0175466e10cd5266;cama_mesa_banho;bed_bath_table;bed_bath_table;52.0;301.0;2.0;840.0;37.0;23.0;35.0
product_id_0177c626d555087b;beleza_saude;health_beauty;health_beauty;53.0;2496.0;1.0;200.0;16.0;6.0;11.0
product_id_017a1e8688a1e5c7;beleza_saude;health_beauty;health_beauty;32.0;200.0;1.0;50.0;16.0;14.0;15.0
product_id_017d2734f913dd6c;beleza_saude;health_beauty;health_beauty;53.0;450.0;1.0;30000.0;55.0;75.0;61.0
product_id_017d34a8a52734be;cama_mesa_banho;bed_bath_table;bed_bath_table;53.0;212.0;1.0;1275.0;39.0;14.0;29.0
product_id_017daed32a93b832;esporte_lazer;sports_leisure;sports_leisure;59.0;1081.0;4.0;700.0;16.0;10.0;11.0
product_id_017e19471c3e97c9;cama_mesa_banho;bed_bath_table;bed_bath_table;56.0;1591.0;1.0;200.0;21.0;8.0;12.0
product_id_017e39472a59a686;cine_foto;cine_photo;cine_photo;20.0;446.0;1.0;300.0;20.0;12.0;16.0
product_id_017f18eb94340141;automotivo;auto;auto;59.0;695.0;6.0;6050.0;47.0;19.0;23.0
product_id_0181111762fcb032;construcao_ferramentas_construcao;construction_tools_construction;construction_tools_construction;57.0;931.0;4.0;500.0;20.0;30.0;15.0
product_id_018177b6c37f03d2;esporte_lazer;sports_leisure;sports_leisure;47.0;2470.0;3.0;4200.0;30.0;30.0;30.0
product_id_01820bcf0816c12c;perfumaria;perfumery;perfumery;29.0;1047.0;3.0;200.0;18.0;10.0;23.0
product_id_01822726c5a33bd9;telefonia;telephony;telephony;60.0;749.0;3.0;200.0;22.0;8.0;15.0
product_id_0187bd6c19892a7d;brinquedos;toys;toys;24.0;305.0;2.0;1225.0;27.0;32.0;21.0
product_id_018985c16171cd42;beleza_saude;health_beauty;health_beauty;55.0;435.0;1.0;75.0;14.0;9.0;7.0
product_id_018d5e3b0d500094;moveis_decoracao;furniture_decor;furniture_decor;48.0;1093.0;1.0;800.0;30.0;30.0;30.0
product_id_0195a75b076677cb;esporte_lazer;sports_leisure;sports_leisure;47.0;1764.0;1.0;2000.0;31.0;36.0;31.0
product_id_019d0914a085f053;cama_mesa_banho;bed_bath_table;bed_bath_table;60.0;369.0;1.0;5450.0;45.0;22.0;33.0
product_id_01a31d91dcc2d685;sinalizacao_e_seguranca;signaling_and_security;signaling_and_security;57.0;1909.0;4.0;200.0;25.0;25.0;15.0
product_id_01a475b669094642;cama_mesa_banho;bed_bath_table;bed_bath_table;53.0;752.0;1.0;500.0;16.0;40.0;30.0
product_id_01a4c8e86152c8ba;telefonia;telephony;telephony;49.0;1019.0;3.0;350.0;16.0;3.0;11.0
product_id_01a7c9da4ecd3c3c;utilidades_domesticas;housewares;housewares;48.0;1012.0;1.0;250.0;25.0;18.0;18.0
product_id_01a82716a5e5c19b;sinalizacao_e_seguranca;signaling_and_security;signaling_and_security;52.0;729.0;3.0;13750.0;65.0;65.0;22.0
product_id_01aa29e612073147;casa_conforto_2;home_comfort_2;home_comfort_2;42.0;423.0;1.0;425.0;105.0;20.0;20.0
product_id_01aab93a087ca953;;;unknown;;;;200.0;16.0;2.0;11.0
product_id_01aacddb748679c8;perfumaria;perfumery;perfumery;44.0;749.0;1.0;500.0;16.0;14.0;14.0
product_id_01ad1b14552b4bab;informatica_acessorios;computers_accessories;computers_accessories;49.0;937.0;1.0;3100.0;43.0;35.0;35.0
product_id_01ade791096f9e41;esporte_lazer;sports_leisure;sports_leisure;43.0;240.0;1.0;4750.0;19.0;18.0;18.0
product_id_01ae18148c674c09;papelaria;stationery;stationery;55.0;381.0;1.0;500.0;22.0;48.0;38.0
product_id_01b9590a3cd53067;telefonia;telephony;telephony;59.0;777.0;6.0;350.0;17.0;4.0;12.0
